sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq74,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,71,0,0,0,0,99,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,303,0,0,0,0,0,0
sq75,0,0,0,0,0,0,105,0,0,0,0,0,0,0,50,0,0,0,0,0,6,0,0,0,0,145,25,0,0,0,63,0,0,0,0,88,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,46,4,0,0,0,0,0,0,0
sq76,0,0,47,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq77,0,0,12,27,0,0,0,0,0,0,0,123,34,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,6,6,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,102,24,0,0,0,0,0,0
sq79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
sq81,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
sq82,0,0,0,5,19,26,7,0,0,0,0,24,0,0,18,9,0,0,11,0,0,0,0,0,26,0,21,51,0,0,0,0,0,0,41,33,0,0,0,0,0,0,0,0,18,0,0,0,0,23,0,0,9,0,5,108,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,34,0
sq83,137,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,66,0,0,0,0,91,0,0,0,0,0,0,14,0,0,0,0,0
sq84,0,0,0,21,0,0,69,0,0,0,0,69,33,0,0,0,0,0,0,0,0,0,12,0,0,94,9,0,0,0,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
sq87,0,0,0,0,0,0,0,0,0,0,0,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,41,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,26
sq88,0,0,0,0,0,8,0,0,7,4,0,84,0,0,0,0,0,0,0,83,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,22,0,0,22,0,0,9,0,0,0,3,0,0,0,0,0,2,14,0,0,0,0,0,57,0,0,0,0,0,0,12,0,0,1,96,0,0,0,0,0,4,0,0,17,95,0
sq89,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,28,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,6,0
sq90,0,0,0,12,0,0,0,0,0,0,0,0,27,0,6,58,28,0,0,0,0,0,2,44,0,0,0,35,16,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,20,0,0,0,0,0,0,0,62,33,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0
sq91,0,31,0,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,59,0,4,0,22,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
sq92,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq93,0,0,14,6,0,0,0,0,57,0,0,0,111,0,0,16,0,0,0,0,0,0,40,0,21,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
sq94,11,0,0,4,0,13,0,0,4,0,0,0,0,0,23,0,0,12,0,0,0,0,16,0,0,0,0,26,0,0,31,0,0,0,10,0,0,0,0,20,15,0,6,10,0,0,0,6,0,13,17,0,8,0,0,0,0,0,10,7,16,39,23,3,0,0,0,33,0,0,0,11,0,15,13,0,0,0,5,20,7,0,0,15
sq96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0
sq97,0,0,0,21,0,0,0,0,0,0,0,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,4,39,0,0,0,25,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
sq98,0,0,0,6,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
sq99,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
sq100,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,67,0,0,0,0,0,0,0,0,67,0,0,0,0,15,0,0,0,65,56,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,37,0
sq101,0,0,5,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,6,0,0,0,33,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
sq102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,137,0,8,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0
sq104,0,8,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,39,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,101,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq105,0,12,0,16,0,0,0,0,0,0,0,0,0,0,11,0,34,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,25,0,0,11,3,42,54,8,0,3,12,0,0,0,0,16,0,0,21,0,0,0,15,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,3,13,0,0,0
sq106,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,21,232,0,0,0,0,0,0
sq108,0,9,10,17,0,0,0,0,0,0,0,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
sq110,14,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,31,0,0,46,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,30,0,0,0,28,0,0,0,10,0,0,0,4,0,67,0,0,0,0,0,0,0,0
sq112,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq113,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq114,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,15,0,7,119,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,18,5,0,0,0,0,60,0
sq115,0,0,0,7,0,0,0,0,0,0,0,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,7,1,15,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,13,0,0,0,0,0,33,0,0,0,0,0,0,0
sq116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,204,0,29,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq117,0,26,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,22,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,3,6,0,15,0,0,0,16,0,0,13,0,0,15,21,0,0,0,0,7,0,0,0,0,0,16,0,0,6,6,9,11,0,0,15,21,0,0,0,0,10,0,0,6,0,0,0
sq118,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,9,0,12,0,0,0,0,0,0,0,0,2,0,21,16,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,15,0,0,0,0,0,28
sq119,0,0,0,3,0,0,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0
sq120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,26,0
sq121,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq123,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
sq124,0,35,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,7,0,0,23,0,0,0,0,0,0,0,0,36,0,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq126,0,0,0,0,0,0,0,0,0,0,15,0,0,0,79,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,32,0,0,0,0,0,0,74,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
sq127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
sq128,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,33,0
sq129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,201,0,0,0,0,0,0
sq130,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,7,0,66,0,0,0,0,0,0,0,0,9,5,0,0,10,0,0,0,0,0,0,0,17,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,61,8,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
sq131,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,42,26,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
sq132,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
sq133,0,0,0,0,0,0,0,0,4,0,0,0,0,0,65,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,0,52,0,7,0,0,0,88,0,0,0,16,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
sq134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq135,0,0,0,0,18,4,28,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,45,0,12,0,0,0,0,14,14,0,32,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0
sq136,0,54,0,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,7,0,0,7,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
sq137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
sq138,0,7,12,0,0,0,0,26,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0,35,0,0,8,0,0,0,17,0,0,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,22,0,0,0,0,0,8,0,0,5,17,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0
sq139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq141,0,0,0,10,11,3,0,14,0,0,0,0,0,0,0,0,0,8,0,64,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,13,14,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
sq142,0,0,0,11,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2,0,0,0,0,0
sq143,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,35,0,16,0,39,20,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,8,0,13,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
sq144,16,0,3,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,16,0,0,70,0,0,4,0,0,31,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0
sq145,0,0,0,8,0,0,0,0,0,0,54,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
sq146,0,23,0,0,0,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,34,0,0,8,6,0,0,0,0,0,6,0,0,0,0,34,2,4,4,0,0,8,0,0
sq147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq148,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,14,0,0,0,0,26,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
sq149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
sq150,0,0,5,6,0,0,0,0,0,7,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,23,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,30,0,0,0,0,0,0
sq151,0,0,0,3,0,17,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
sq152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,38,0
sq153,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,5,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq154,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,60,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
sq155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
sq157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,2,12,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,0,24,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
