,sample,island,direction,in_off,site,site_zone,sq1,sq105,sq118,sq12,sq3,sq33,sq6,sq66,sq7
1,101,Moorea,NW,Inner,MNW,MNWI,4508,0,0,49,291,0,0,0,0
2,113,Moorea,NW,Outer,MNW,MNWO,3018,0,0,33,338,0,61,0,0
3,115,Moorea,NW,Outer,MNW,MNWO,3490,0,0,44,502,0,0,0,0
4,116,Moorea,NW,Outer,MNW,MNWO,1677,0,0,52,791,0,1087,0,0
5,117,Moorea,NW,Outer,MNW,MNWO,1289,0,0,0,299,0,0,0,0
6,130,Moorea,NW,Outer,MNW,MNWO,6307,0,0,74,800,0,0,0,0
7,157,Moorea,NW,Outer,MNW,MNWO,1858,0,0,0,171,0,0,0,0
8,158,Moorea,NW,Outer,MNW,MNWO,3818,0,0,62,647,0,0,0,0
9,159,Moorea,NW,Outer,MNW,MNWO,4791,0,0,42,493,0,0,0,0
10,172,Moorea,NW,Outer,MNW,MNWO,7748,0,0,45,398,0,0,0,0
11,173,Moorea,NW,Outer,MNW,MNWO,3937,0,0,23,389,0,0,8,0
12,174,Moorea,NW,Outer,MNW,MNWO,2679,0,0,23,292,0,0,0,0
13,175,Moorea,NW,Outer,MNW,MNWO,3919,0,0,52,249,0,0,0,0
14,177,Moorea,NW,Outer,MNW,MNWO,3318,0,0,48,489,0,0,0,646
15,178,Moorea,NW,Outer,MNW,MNWO,95,0,0,0,26,0,57,0,1849
16,179,Moorea,NW,Outer,MNW,MNWO,4817,0,0,38,505,0,0,0,0
17,180,Moorea,NW,Outer,MNW,MNWO,5470,0,0,26,713,0,0,0,0
18,276,Moorea,SE,Inner,MSE,MSEI,2396,0,0,20,157,0,0,0,0
19,297,Moorea,SE,Inner,MSE,MSEI,3904,0,0,27,279,0,0,0,0
20,300,Moorea,SE,Inner,MSE,MSEI,6099,0,0,0,249,0,0,0,0
21,301,Moorea,SE,Inner,MSE,MSEI,3184,0,0,31,208,0,0,0,0
22,303,Moorea,SE,Inner,MSE,MSEI,2644,0,0,42,522,0,236,6,0
23,304,Moorea,SE,Inner,MSE,MSEI,4887,0,0,44,313,0,0,7,0
24,305,Moorea,SE,Inner,MSE,MSEI,2720,0,0,21,150,0,0,7,0
25,307,Moorea,SE,Inner,MSE,MSEI,2424,0,0,31,140,0,0,4,0
26,308,Moorea,SE,Inner,MSE,MSEI,3126,0,0,19,139,0,0,2,0
27,310,Moorea,SE,Inner,MSE,MSEI,5350,2,0,0,294,0,0,0,0
28,311,Moorea,SE,Inner,MSE,MSEI,1271,0,0,14,86,0,0,0,0
29,315,Moorea,SE,Inner,MSE,MSEI,1953,0,0,0,172,0,0,0,0
30,316,Moorea,SE,Inner,MSE,MSEI,6225,0,0,53,323,0,0,0,0
31,351,Moorea,SE,Inner,MSE,MSEI,2769,0,0,29,261,0,0,0,0
32,377,Moorea,SE,Inner,MSE,MSEI,4760,0,0,37,255,0,0,0,0
33,378,Moorea,SE,Inner,MSE,MSEI,2201,0,0,24,210,0,0,0,0
34,380,Tahiti,Airport,Inner,T,TI,0,0,0,0,0,0,0,0,2285
35,384,Tahiti,Airport,Outer,T,TO,5103,0,0,46,1044,0,0,6,0
36,386,Tahiti,Airport,Outer,T,TO,2488,0,0,34,634,0,0,0,0
37,389,Tahiti,Airport,Outer,T,TO,2008,0,0,53,765,0,1092,0,0
38,394,Tahiti,Airport,Outer,T,TO,2618,0,0,31,406,0,0,4,0
39,397,Tahiti,Airport,Outer,T,TO,4664,0,0,48,577,0,0,0,0
40,400,Tahiti,Airport,Outer,T,TO,2524,0,0,44,865,0,1055,0,334
41,402,Tahiti,Airport,Outer,T,TO,458,0,0,0,164,0,271,0,0
42,405,Tahiti,Airport,Outer,T,TO,2491,0,0,47,432,0,0,0,0
43,408,Tahiti,Airport,Outer,T,TO,3345,0,0,47,1441,0,1601,0,0
44,409,Tahiti,Airport,Outer,T,TO,4691,0,0,69,576,0,0,0,0
45,414,Tahiti,Airport,Outer,T,TO,956,0,0,0,262,0,89,0,0
46,416,Tahiti,Airport,Outer,T,TO,3518,0,0,39,675,0,0,0,0
47,418,Tahiti,Airport,Outer,T,TO,6663,0,0,63,693,0,0,0,0
48,421,Tahiti,Airport,Outer,T,TO,1381,0,0,32,280,0,301,0,0
49,425,Tahiti,Airport,Outer,T,TO,4350,0,0,57,1026,0,96,0,0
50,427,Tahiti,Airport,Outer,T,TO,3195,0,0,42,254,0,0,0,0
51,453,Tahiti,Airport,Inner,T,TI,3479,0,0,67,640,0,0,0,0
52,455,Tahiti,Airport,Inner,T,TI,7291,0,0,61,925,0,0,0,0
53,505,Tahiti,Airport,Inner,T,TI,814,0,0,0,74,0,0,0,0
54,51,Moorea,NW,Inner,MNW,MNWI,8582,0,0,55,471,0,0,6,0
55,511,Tahiti,Airport,Inner,T,TI,10113,0,0,75,638,0,0,0,0
56,513,Tahiti,Airport,Inner,T,TI,194,0,0,0,28,0,0,0,0
57,516,Tahiti,Airport,Inner,T,TI,4415,0,0,58,1599,0,2526,0,0
58,517,Tahiti,Airport,Inner,T,TI,5202,0,0,42,1052,0,0,0,4
59,525,Tahiti,Airport,Inner,T,TI,2334,0,0,54,642,0,1764,0,14
60,526,Tahiti,Airport,Inner,T,TI,4472,0,0,65,2706,0,0,0,2
61,527,Tahiti,Airport,Inner,T,TI,894,0,0,0,188,0,0,0,2121
62,530,Tahiti,Airport,Inner,T,TI,517,0,0,0,110,0,0,0,0
63,533,Tahiti,Airport,Inner,T,TI,2204,0,0,24,896,0,1352,0,377
64,539,Tahiti,Airport,Inner,T,TI,1344,0,0,17,171,0,0,0,1287
65,540,Tahiti,Airport,Inner,T,TI,3007,0,0,25,243,0,0,0,82
66,545,Tahiti,Airport,Inner,T,TI,1870,0,0,25,803,0,620,0,0
67,55,Moorea,NW,Inner,MNW,MNWI,8032,0,0,69,381,0,0,6,0
68,58,Moorea,NW,Inner,MNW,MNWI,194,0,0,0,26,799,0,0,0
69,600,Moorea,SE,Outer,MSE,MSEO,11536,0,0,102,790,0,0,0,8
70,604,Moorea,SE,Outer,MSE,MSEO,3154,0,0,39,549,0,262,0,0
71,607,Moorea,SE,Outer,MSE,MSEO,8001,0,0,60,682,0,0,0,0
72,608,Moorea,SE,Outer,MSE,MSEO,5810,0,0,79,1461,0,172,0,0
73,609,Moorea,SE,Outer,MSE,MSEO,9385,0,0,77,821,0,0,0,0
74,612,Moorea,SE,Outer,MSE,MSEO,6618,0,0,73,607,0,0,0,0
75,614,Moorea,SE,Outer,MSE,MSEO,6922,0,0,34,887,0,0,0,0
76,616,Moorea,SE,Outer,MSE,MSEO,7044,0,0,139,1361,0,0,0,0
77,617,Moorea,SE,Outer,MSE,MSEO,4795,0,0,58,513,0,0,3,0
78,618,Moorea,SE,Outer,MSE,MSEO,5601,0,0,58,1059,0,332,0,0
79,619,Moorea,SE,Outer,MSE,MSEO,4450,0,0,34,510,0,0,0,0
80,62,Moorea,NW,Inner,MNW,MNWI,4107,0,0,0,227,0,0,5,0
81,626,Moorea,SE,Outer,MSE,MSEO,5743,0,1,37,428,0,0,0,0
82,627,Moorea,SE,Outer,MSE,MSEO,9337,0,0,28,648,0,0,0,0
83,63,Moorea,NW,Inner,MNW,MNWI,5446,0,0,34,359,0,0,0,0
84,630,Moorea,SE,Outer,MSE,MSEO,5819,0,0,45,564,0,0,0,0
85,632,Moorea,SE,Outer,MSE,MSEO,3904,0,0,75,881,0,0,0,0
86,633,Moorea,SE,Outer,MSE,MSEO,2948,0,0,24,229,0,0,0,0
87,65,Moorea,NW,Inner,MNW,MNWI,3397,0,0,42,208,0,0,3,0
88,70,Moorea,NW,Inner,MNW,MNWI,4411,0,0,88,469,0,0,5,2
89,72,Moorea,NW,Inner,MNW,MNWI,1685,0,0,0,101,0,0,0,0
90,73,Moorea,NW,Inner,MNW,MNWI,8948,0,0,73,791,0,0,0,0
91,76,Moorea,NW,Inner,MNW,MNWI,209,0,0,0,0,0,0,0,0
92,87,Moorea,NW,Inner,MNW,MNWI,0,0,0,0,0,0,0,0,0
93,89,Moorea,NW,Inner,MNW,MNWI,2670,0,0,28,123,0,0,0,13
94,96,Moorea,NW,Inner,MNW,MNWI,3901,0,0,18,161,0,0,0,0
95,97,Moorea,NW,Inner,MNW,MNWI,3633,0,0,0,160,0,0,0,0
96,98,Moorea,NW,Inner,MNW,MNWI,1579,0,0,19,79,0,0,0,353