"","site","place","zone","coral_id","square1","square2","square3","coral1","coral2","coral3","notes","X","X.1","square","coral","size"
"1","MNWO","MNW","O",179,15796,16072,16200,213438,225251,232691,"",NA,NA,16022.6666666667,223793.333333333,55.8691853207955
"2","MNWO","MNW","O",107,39318,39912,40262,263742,263995,268662,"",NA,NA,39830.6666666667,265466.333333333,26.6594918488267
"3","TO","T","O",409,21968,21835,21834,267783,268628,266947,"",NA,NA,21879,267786,48.9576306046894
"4","TO","T","O",411,18287,18177,17938,332976,334567,332185,"",NA,NA,18134,333242.666666667,73.5067093121576
"5","MNWO","MNW","O",106,31693,32817,31104,334166,326886,334436,"",NA,NA,31871.3333333333,331829.333333333,41.6461187692179
"6","TI","T","I",530,23166,25020,24714,378414,376272,398666,"",NA,NA,24300,384450.666666667,63.284060356653
"7","MNWO","MNW","O",178,12041,12680,12616,408687,428974,428586,"",NA,NA,12445.6666666667,422082.333333333,135.655998071618
"8","TO","T","O",384,27853,27739,27842,417405,420786,418963,"",NA,NA,27811.3333333333,419051.333333333,60.2705851331591
"9","TO","T","O",386,22344,22410,23812,439386,437086,437179,"",NA,NA,22855.3333333333,437883.666666667,76.6357086602689
"10","MNWI","MNW","I",55,51072,54038,51824,444713,4736291,4580070,"",NA,NA,52311.3333333333,3253691.33333333,248.794372156448
"11","MNWO","MNW","O",130,26607,25690,27209,479088,471518,459781,"",NA,NA,26502,470129,70.9575126405554
"12","TO","T","O",381,35526,34404,33615,519935,519706,517400,"",NA,NA,34515,519013.666666667,60.1493456951084
"13","TI","T","I",454,31073,30082,31242,534003,530887,56299,"",NA,NA,30799,373729.666666667,48.5378962520428
"14","TO","T","O",414,40718,40312,40746,535803,535835,536284,"",NA,NA,40592,535974,52.815727236894
"15","MNWO","MNW","O",175,32979,32997,32411,536469,548386,530043,"",NA,NA,32795.6666666667,538299.333333333,65.6549340868204
"16","TI","T","I",525,10280,9940,10596,538040,538792,536695,"525b was measured",NA,NA,10272,537842.333333333,209.440160955348
"17","MNWO","MNW","O",111,29509,28778,29091,542408,513938,517229,"",NA,NA,29126,524525,72.0352949254961
"18","MNWO","MNW","O",157,16307,15440,16471,552805,604230,587861,"",NA,NA,16072.6666666667,581632,144.750591065577
"19","MNWO","MNW","O",115,22777,23378,23680,582642,591798,607894,"",NA,NA,23278.3333333333,594111.333333333,102.088293835469
"20","MSEI","MSE","I",300,32880,33834,35024,598803,617600,657023,"",NA,NA,33912.6666666667,624475.333333333,73.6568833670802
"21","TI","T","I",453,18451,20265,20584,604147,617972,613422,"",NA,NA,19766.6666666667,611847,123.81389544688
"22","TO","T","O",418,32619,32472,32322,618567,620778,624487,"",NA,NA,32471,621277.333333333,76.5331937215772
"23","TI","T","I",512,29089,30622,30504,639355,630951,651911,"",NA,NA,30071.6666666667,640739,85.2282658094552
"24","TI","T","I",510,34024,33772,32688,642536,655924,656339,"",NA,NA,33494.6666666667,651599.666666667,77.8153337844831
"25","TO","T","O",425,29686,30041,29902,643179,638042,639700,"",NA,NA,29876.3333333333,640307,85.7276551116268
"26","MNWO","MNW","O",105,28913,28768,28115,658350,606500,646286,"",NA,NA,28598.6666666667,637045.333333333,89.1014033288265
"27","TI","T","I",380,45228,46560,46096,661307,638442,657222,"",NA,NA,45961.3333333333,652323.666666667,56.7715180876679
"28","MNWO","MNW","O",158,12274,10711,11659,661980,668819,658129,"",NA,NA,11548,662976,229.641842743332
"29","MNWO","MNW","O",159,21727,20775,21080,666697,654359,678259,"",NA,NA,21194,666438.333333333,125.778679500488
"30","MNWO","MNW","O",173,33040,34815,37356,699329,650371,696266,"",NA,NA,35070.3333333333,681988.666666667,77.7852505916682
"31","MNWO","MNW","O",108,25920,24816,24648,707585,666080,691298,"",NA,NA,25128,688321,109.570359758039
"32","TO","T","O",400,45441,46668,45498,711042,704355,743733,"",NA,NA,45869,719710,62.7622141315485
"33","MNWO","MNW","O",177,18137,18469,18286,721877,718780,739949,"",NA,NA,18297.3333333333,726868.666666667,158.901552138745
"34","TI","T","I",527,51360,49120,50502,738003,760706,754932,"",NA,NA,50327.3333333333,751213.666666667,59.7062166350956
"35","MNWI","MNW","I",72,28192,28204,28759,746381,754440,750773,"",NA,NA,28385,750531.333333333,105.764500029358
"36","MSEI","MSE","I",298,58174,60392,62976,761492,758033,796145,"",NA,NA,60514,771890,51.0222427867931
"37","TO","T","O",389,21780,22012,21643,768572,771771,773668,"",NA,NA,21811.6666666667,771337,141.454023076335
"38","MSEI","MSE","I",323,70454,70300,70502,774359,802202,784493,"",NA,NA,70418.6666666667,787018,44.7050781989624
"39","TI","T","I",544,48002,39992,47759,780227,776230,779576,"",NA,NA,45251,778677.666666667,68.8318637525506
"40","TI","T","I",539,31147,32082,31110,807866,820646,821708,"",NA,NA,31446.3333333333,816740,103.89001367409
"41","TO","T","O",391,78631,79638,76512,810765,793829,801800,"",NA,NA,78260.3333333333,802131.333333333,40.9981046166427
"42","MNWO","MNW","O",164,24773,25179,24340,824879,840558,830911,"",NA,NA,24764,832116,134.407365530609
"43","MSEI","MSE","I",378,31511,33294,31472,836054,851023,824371,"",NA,NA,32092.3333333333,837149.333333333,104.342594804574
"44","TO","T","O",382,41845,41837,42019,837059,830981,830891,"",NA,NA,41900.3333333333,832977,79.5198447108615
"45","MSEI","MSE","I",351,25614,24982,25848,841852,801274,824479,"",NA,NA,25481.3333333333,822535,129.119616974517
"46","MNWI","MNW","I",97,3523,3856,4299,860951,876477,831670,"",NA,NA,3892.66666666667,856366,879.978763486899
"47","TO","T","O",408,22293,21143,20919,866642,862003,862805,"",NA,NA,21451.6666666667,863816.666666667,161.072177763965
"48","TO","T","O",427,58635,58127,58153,870108,867351,879051,"",NA,NA,58305,872170,59.835005574136
"49","TO","T","O",393,28897,29088,28815,881142,883955,877715,"",NA,NA,28933.3333333333,880937.333333333,121.788571428571
"50","TO","T","O",394,27189,26593,26737,892432,895119,898222,"",NA,NA,26839.6666666667,895257.666666667,133.42306784734
"51","MNWO","MNW","O",119,23084,23706,23938,914132,896840,912992,"",NA,NA,23576,907988,154.052935188327
"52","MNWO","MNW","O",113,44416,42301,41132,920061,906341,926976,"",NA,NA,42616.3333333333,917792.666666667,86.1446863096309
"53","TI","T","I",513,13287,13255,13181,928901,938623,924993,"",NA,NA,13241,930839,281.199003096443
"54","TO","T","O",421,53523,53953,53891,941954,959474,932398,"",NA,NA,53789,944608.666666667,70.2454900940093
"55","TO","T","O",422,56271,56160,56642,979516,965650,966427,"",NA,NA,56357.6666666667,970531,68.8836892939736
"56","TI","T","I",524,36093,38909,37917,981261,1010882,1047031,"",NA,NA,37639.6666666667,1013058,107.658551705205
"57","MNWI","MNW","I",71,24117,24623,22625,1035185,997560,1021684,"",NA,NA,23788.3333333333,1018143,171.200392349191
"58","MSEI","MSE","I",308,38331,39441,38227,1047888,1013819,968499,"",NA,NA,38666.3333333333,1010068.66666667,104.490762851404
"59","TO","T","O",410,60706,60619,60848,1083568,1086734,1076866,"",NA,NA,60724.3333333333,1082389.33333333,71.2985568662755
"60","TO","T","O",405,74552,74046,72912,1083813,1072424,1071924,"",NA,NA,73836.6666666667,1076053.66666667,58.2937294027358
"61","TO","T","O",429,36337,36229,36314,1106742,1105165,1103037,"",NA,NA,36293.3333333333,1104981.33333333,121.783394562821
"62","TI","T","I",533,38358,36504,37167,1118173,1085837,1181924,"",NA,NA,37343,1128644.66666667,120.89491113908
"63","TO","T","O",402,44859,43932,44460,1131934,1130963,1135516,"",NA,NA,44417,1132804.33333333,102.015384499929
"64","TO","T","O",416,36815,36728,37413,1156521,1161477,1163433,"",NA,NA,36985.3333333333,1160477,125.506723385847
"65","TI","T","I",516,22235,22369,23200,1159870,1153335,1166921,"",NA,NA,22601.3333333333,1160042,205.305055748923
"66","TO","T","O",397,58106,57584,58032,1160563,1171123,1168488,"",NA,NA,57907.3333333333,1166724.66666667,80.5925328973878
"67","MSEI","MSE","I",303,62014,62609,60543,1188885,1213599,1173671,"",NA,NA,61722,1192051.66666667,77.2529514057656
"68","MNWI","MNW","I",52,26482,26631,25420,1197220,1193347,1195515,"",NA,NA,26177.6666666667,1195360.66666667,182.653508716081
"69","MNWO","MNW","O",125,19844,19753,20121,1201971,1198752,1187800,"",NA,NA,19906,1196174.33333333,240.364580193576
"70","MSEI","MSE","I",304,30778,28728,29180,1205808,1210718,1209587,"",NA,NA,29562,1208704.33333333,163.548384186907
"71","MSEI","MSE","I",315,67600,64896,66570,1205844,1223850,1201851,"",NA,NA,66355.3333333333,1210515,72.9716777350226
"72","TI","T","I",526,22549,21216,22824,1254091,1242706,1303661,"",NA,NA,22196.3333333333,1266819.33333333,228.293441859767
"73","TI","T","I",542,27939,25719,26836,1268729,1174258,1157741,"",NA,NA,26831.3333333333,1200242.66666667,178.931497999851
"74","MNWO","MNW","O",174,31507,34736,32465,1271642,1275103,1298449,"",NA,NA,32902.6666666667,1281731.33333333,155.820966892248
"75","MNWO","MNW","O",117,44685,42491,41886,1291745,1296387,1293369,"",NA,NA,43020.6666666667,1293833.66666667,120.29880212611
"76","TI","T","I",517,12628,12367,12155,1344685,1342203,1330711,"",NA,NA,12383.3333333333,1339199.66666667,432.58131897712
"77","MSEI","MSE","I",277,47214,44212,46947,1348087,1355600,1324873,"",NA,NA,46124.3333333333,1342853.33333333,116.455088781771
"78","TI","T","I",540,33945,33480,35114,1351218,1369562,1350635,"540c measured",NA,NA,34179.6666666667,1357138.33333333,158.824057187997
"79","MSEI","MSE","I",319,63178,62208,61770,1396408,1402890,1422900,"",NA,NA,62385.3333333333,1407399.33333333,90.2391160315459
"80","TI","T","I",455,33775,31091,32892,1424993,1409834,1413041,"",NA,NA,32586,1415956,173.811575523231
"81","MNWO","MNW","O",99,35577,34519,34656,1474546,1482819,1473051,"",NA,NA,34917.3333333333,1476805.33333333,169.177333129678
"82","MSEI","MSE","I",377,29624,29628,31085,1490529,1483191,1462019,"",NA,NA,30112.3333333333,1478579.66666667,196.408514783533
"83","MNWO","MNW","O",172,26818,24660,26332,1513054,1575297,1601037,"",NA,NA,25936.6666666667,1563129.33333333,241.0686544146
"84","MSEI","MSE","I",307,56630,57995,57600,1538228,1458268,1490564,"",NA,NA,57408.3333333333,1495686.66666667,104.213906227319
"85","MSEI","MSE","I",305,40229,42195,39204,1553619,1543712,1566820,"",NA,NA,40542.6666666667,1554717,153.390699509981
"86","MNWO","MNW","O",100,69856,70662,70637,1563348,1552760,1555152,"",NA,NA,70385,1557086.66666667,88.4896876701949
"87","MNWO","MNW","O",103,42379,43224,42876,1589334,1581607,1598432,"",NA,NA,42826.3333333333,1589791,148.487239159707
"88","MNWI","MNW","I",89,34656,36896,35928,1633738,1598441,1613507,"multiple corals (largest one was measured)",NA,NA,35826.6666666667,1615228.66666667,180.338146631932
"89","MNWI","MNW","I",58,57456,60137,58375,1642627,1672365,1711756,"",NA,NA,58656,1675582.66666667,114.26504819058
"90","MNWI","MNW","I",76,71712,74205,76434,1746608,1750228,1734065,"",NA,NA,74117,1743633.66666667,94.1016860729207
"91","MNWO","MNW","O",104,44143,44457,45225,1780426,1773525,1796292,"",NA,NA,44608.3333333333,1783414.33333333,159.917593872595
"92","TI","T","I",545,31590,31753,31729,1846808,1834545,1850375,"",NA,NA,31690.6666666667,1843909.33333333,232.738471894985
"93","TI","T","I",505,30642,28926,28713,1898699,1839172,1845196,"",NA,NA,29427,1861022.33333333,252.96799990938
"94","MSEI","MSE","I",276,15177,15907,15090,1955501,1943501,1917961,"",NA,NA,15391.3333333333,1938987.66666667,503.91674968597
"95","MNWI","MNW","I",63,36174,36036,37839,1957611,1972013,1948005,"",NA,NA,36683,1959209.66666667,213.63679815355
"96","MNWO","MNW","O",102,22446,22631,22746,1980107,1905013,1846326,"Picture found in inner NW folder",NA,NA,22607.6666666667,1910482,338.023738259882
"97","MSEI","MSE","I",321,71834,76992,77028,2006229,1851208,1911100,"",NA,NA,75284.6666666667,1922845.66666667,102.163999752052
"98","MSEI","MSE","I",310,45241,43132,44364,2070916,1981766,1994495,"",NA,NA,44245.6666666667,2015725.66666667,182.230335174066
"99","MNWI","MNW","I",62,42759,42759,43210,2377799,2347959,2343662,"",NA,NA,42909.3333333333,2356473.33333333,219.670001864396
"100","MSEI","MSE","I",311,65688,65530,63686,2379543,2287374,2414293,"",NA,NA,64968,2360403.33333333,145.327135410253
"101","MNWI","MNW","I",65,49662,49944,49685,2382728,2362885,2383591,"",NA,NA,49763.6666666667,2376401.33333333,191.014970761801
"102","MSEI","MSE","I",297,34128,35008,34263,2557922,2571187,2537783,"",NA,NA,34466.3333333333,2555630.66666667,296.594435149276
"103","MSEI","MSE","I",313,62080,57662,64080,2617337,2653089,2678983,"",NA,NA,61274,2649803,172.980579038418
"104","MNWI","MNW","I",73,24983,26143,26519,2621530,2598922,2578734,"",NA,NA,25881.6666666667,2599728.66666667,401.78690192543
"105","MSEI","MSE","I",316,24616,23856,23562,2796789,2810290,2807729,"",NA,NA,24011.3333333333,2804936,467.268678679513
"106","MNWI","MNW","I",59,21921,22078,23811,2928853,2865237,2926029,"",NA,NA,22603.3333333333,2906706.33333333,514.385429877599
"107","MNWI","MNW","I",98,23946,23360,24012,3094929,3089170,3156203,"multiple corals (largest one was measured)",NA,NA,23772.6666666667,3113434,523.867859446423
"108","MNWI","MNW","I",53,37834,35415,37363,3403825,3406446,3457109,"",NA,NA,36870.6666666667,3422460,371.293530539182
"109","MNWO","MNW","O",104,13298,13064,11672,3463220,3485585,3407250,"Picture found in inner NW folder",NA,NA,12678,3452018.33333333,1089.13656202345
"110","TI","T","I",511,28103,30022,3032,3474128,3558285,3505482,"",NA,NA,20385.6666666667,3512631.66666667,689.235574014422
"111","MNWI","MNW","I",101,12472,12828,13832,3823917,3445517,3400554,"multiple corals (largest one was measured)",NA,NA,13044,3556662.66666667,1090.66625779413
"112","MNWI","MNW","I",51,12404,13280,13182,4076066,3998513,4016403,"",NA,NA,12955.3333333333,4030327.33333333,1244.37626717439
"113","MNWI","MNW","I",70,13440,12170,14698,4540102,4594586,4580954,"",NA,NA,13436,4571880.66666667,1361.08385432172
"114","MNWI","MNW","I",69,33636,35328,33076,4735976,4643970,4676333,"",NA,NA,34013.3333333333,4685426.33333333,551.010544884359
"115","MSEI","MSE","I",301,24432,25458,24000,4795103,481295,4847650,"",NA,NA,24630,3374682.66666667,548.060522398159
"116","MNWI","MNW","I",56,41953,50452,49621,5228153,5210084,5210084,"57960",61005,61599,47342,5216107,440.717079971273
"117","MNWI","MNW","I",57,43238,44000,42016,5540502,5526827,5527870,"",NA,NA,43084.6666666667,5531733,513.568601358565
"118","MNWI","MNW","I",87,9887,10503,10642,6204454,6129603,6108637,"",NA,NA,10344,6147564.66666667,2377.24851765919
"119","MNWO","MNW","O",180,28830,29696,30640,810040,822186,843089,"",NA,NA,29722,825105,111.042998452325
"120","MNWO","MNW","O",116,28611,29679,30618,657930,655315,648777,"",NA,NA,29636,654007.333333333,88.2720115175237
"121","MNWI","MNW","I",96,46604,41796,41580,1444636,1464108,1465998,"",NA,NA,43326.6666666667,1458247.33333333,134.628158178181
