,Sample,zone,site,site_zone,sq1,sq105,sq109,sq12,sq18,sq2,sq24,sq3,sq32,sq33,sq41,sq52,sq6,sq66,sq7,sq73,sq79,sq81,sq83
1,101,Backreef,MNW,MNW-B,1543,0,0,23,15,283,0,130,0,0,0,0,0,0,0,0,0,0,0
2,113,Forereef,MNW,MNW-F,1437,0,0,23,0,284,0,198,16,0,0,0,36,0,0,0,0,0,0
3,115,Forereef,MNW,MNW-F,1366,0,0,25,0,306,0,297,0,0,0,0,0,0,0,0,0,0,0
4,116,Forereef,MNW,MNW-F,535,0,0,26,40,328,0,459,0,0,0,0,606,0,0,0,0,0,0
5,130,Forereef,MNW,MNW-F,1442,0,0,16,17,238,0,281,0,0,0,0,0,0,0,0,0,0,0
6,157,Forereef,MNW,MNW-F,1552,0,0,0,0,267,0,175,0,0,0,0,0,0,0,0,0,0,0
7,158,Forereef,MNW,MNW-F,1348,0,0,23,0,309,0,314,0,0,0,0,0,0,0,0,0,0,0
8,159,Forereef,MNW,MNW-F,1489,0,0,14,0,269,0,222,0,0,0,0,0,0,0,0,0,0,0
9,172,Forereef,MNW,MNW-F,1694,0,0,15,0,157,0,119,9,0,0,0,0,0,0,0,0,0,0
10,173,Forereef,MNW,MNW-F,1571,0,0,8,0,190,0,220,0,0,0,0,0,3,0,0,0,2,0
11,174,Forereef,MNW,MNW-F,1377,0,0,16,0,401,0,200,0,0,0,0,0,0,0,0,0,0,0
12,175,Forereef,MNW,MNW-F,1300,0,0,23,0,525,0,146,0,0,0,0,0,0,0,0,0,0,0
13,177,Forereef,MNW,MNW-F,938,0,0,23,29,486,0,234,14,0,0,0,0,0,270,0,0,0,0
14,178,Forereef,MNW,MNW-F,92,0,0,0,0,0,0,25,0,0,0,0,55,0,1822,0,0,0,0
15,179,Forereef,MNW,MNW-F,1462,0,0,15,35,287,0,195,0,0,0,0,0,0,0,0,0,0,0
16,180,Forereef,MNW,MNW-F,1459,0,0,6,15,229,0,285,0,0,0,0,0,0,0,0,0,0,0
17,276,Backreef,MSE,MSE-B,1548,0,0,17,0,304,0,125,0,0,0,0,0,0,0,0,0,0,0
18,297,Backreef,MSE,MSE-B,1616,0,0,10,0,203,0,165,0,0,0,0,0,0,0,0,0,0,0
19,300,Backreef,MSE,MSE-B,1757,0,0,0,0,151,0,86,0,0,0,0,0,0,0,0,0,0,0
20,301,Backreef,MSE,MSE-B,1588,0,0,16,0,247,0,133,10,0,0,0,0,0,0,0,0,0,0
21,303,Backreef,MSE,MSE-B,1166,0,0,25,0,361,0,306,0,0,0,0,131,5,0,0,0,0,0
22,304,Backreef,MSE,MSE-B,1603,0,0,18,22,209,0,138,0,0,0,0,0,4,0,0,0,0,0
23,305,Backreef,MSE,MSE-B,1605,0,0,13,0,262,0,108,0,0,0,0,0,6,0,0,0,0,0
24,307,Backreef,MSE,MSE-B,1595,0,0,24,0,261,0,110,0,0,0,0,0,4,0,0,0,0,0
25,308,Backreef,MSE,MSE-B,1713,0,0,13,0,182,0,86,0,0,0,0,0,0,0,0,0,0,0
26,310,Backreef,MSE,MSE-B,1743,1,0,0,0,134,0,116,0,0,0,0,0,0,0,0,0,0,0
27,315,Backreef,MSE,MSE-B,1519,0,0,0,0,298,0,163,14,0,0,0,0,0,0,0,0,0,0
28,316,Backreef,MSE,MSE-B,1711,0,0,15,0,153,0,107,0,0,0,0,0,0,0,8,0,0,0
29,351,Backreef,MSE,MSE-B,1436,0,0,21,0,364,0,173,0,0,0,0,0,0,0,0,0,0,0
30,377,Backreef,MSE,MSE-B,1644,0,0,18,24,195,0,113,0,0,0,0,0,0,0,0,0,0,0
31,378,Backreef,MSE,MSE-B,1604,0,0,18,0,192,0,180,0,0,0,0,0,0,0,0,0,0,0
32,380,Backreef,TNW,TNW-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,0
33,384,Forereef,TNW,TNW-F,1193,0,0,15,15,292,22,373,15,0,68,0,0,1,0,0,0,0,0
34,386,Forereef,TNW,TNW-F,1237,0,0,21,0,294,0,434,8,0,0,0,0,0,0,0,0,0,0
35,389,Forereef,TNW,TNW-F,669,0,0,31,0,339,0,394,0,0,0,0,544,0,0,0,17,0,0
36,394,Forereef,TNW,TNW-F,1460,0,0,19,0,215,0,297,0,0,0,0,0,3,0,0,0,0,0
37,397,Forereef,TNW,TNW-F,1376,0,0,13,15,235,84,271,0,0,0,0,0,0,0,0,0,0,0
38,400,Forereef,TNW,TNW-F,754,0,0,22,0,282,0,385,0,0,0,0,421,0,130,0,0,0,0
39,405,Forereef,TNW,TNW-F,1068,0,0,29,49,487,57,304,0,0,0,0,0,0,0,0,0,0,0
40,408,Forereef,TNW,TNW-F,740,0,0,15,0,182,0,505,5,0,44,0,497,0,0,0,0,6,0
41,409,Forereef,TNW,TNW-F,1218,0,0,33,29,415,64,235,0,0,0,0,0,0,0,0,0,0,0
42,416,Forereef,TNW,TNW-F,1253,0,0,18,0,294,44,385,0,0,0,0,0,0,0,0,0,0,0
43,418,Forereef,TNW,TNW-F,1471,0,0,18,16,281,0,190,18,0,0,0,0,0,0,0,0,0,0
44,421,Forereef,TNW,TNW-F,884,0,0,32,0,494,0,283,0,0,0,0,301,0,0,0,0,0,0
45,425,Forereef,TNW,TNW-F,1176,0,0,20,0,302,46,406,8,0,0,0,36,0,0,0,0,0,0
46,427,Forereef,TNW,TNW-F,1282,0,0,21,31,407,77,176,0,0,0,0,0,0,0,0,0,0,0
47,453,Backreef,TNW,TNW-B,1268,0,0,30,0,290,54,340,12,0,0,0,0,0,0,0,0,0,0
48,455,Backreef,TNW,TNW-B,1388,0,0,16,17,224,91,248,10,0,0,0,0,0,0,0,0,0,0
49,51,Backreef,MNW,MNW-B,1707,0,0,8,8,178,0,93,0,0,0,0,0,0,0,0,0,0,0
50,511,Backreef,TNW,TNW-B,1578,0,0,16,19,217,0,161,3,0,0,0,0,0,0,0,0,0,0
51,516,Backreef,TNW,TNW-B,744,0,0,14,0,199,0,446,0,0,0,0,591,0,0,0,0,0,0
52,517,Backreef,TNW,TNW-B,1326,0,0,12,0,241,51,358,0,0,0,0,0,0,1,0,0,0,5
53,525,Backreef,TNW,TNW-B,591,0,0,24,0,328,0,304,12,0,0,0,729,0,6,0,0,0,0
54,526,Backreef,TNW,TNW-B,850,0,0,12,21,293,0,808,10,0,0,0,0,0,0,0,0,0,0
55,527,Backreef,TNW,TNW-B,382,0,0,0,0,139,30,117,0,0,0,0,0,0,1326,0,0,0,0
56,533,Backreef,TNW,TNW-B,676,0,0,14,0,214,0,411,0,0,0,0,534,0,145,0,0,0,0
57,539,Backreef,TNW,TNW-B,730,0,0,6,0,166,42,118,0,0,0,0,0,0,932,0,0,0,0
58,540,Backreef,TNW,TNW-B,1624,0,0,11,0,170,0,140,0,0,0,0,0,0,49,0,0,0,0
59,545,Backreef,TNW,TNW-B,759,0,0,21,0,356,0,480,0,0,0,0,378,0,0,0,0,0,0
60,55,Backreef,MNW,MNW-B,1570,0,0,12,28,275,0,87,0,0,0,14,0,1,0,7,0,0,0
61,600,Forereef,MSE,MSE-F,1615,0,0,18,19,182,0,146,0,0,0,11,0,0,3,0,0,0,0
62,604,Forereef,MSE,MSE-F,1199,0,0,22,0,353,0,290,0,0,0,0,130,0,0,0,0,0,0
63,607,Forereef,MSE,MSE-F,1578,0,0,14,14,200,0,188,0,0,0,0,0,0,0,0,0,0,0
64,608,Forereef,MSE,MSE-F,1239,0,0,19,18,202,0,460,10,0,0,0,46,0,0,0,0,0,0
65,609,Forereef,MSE,MSE-F,1473,0,0,15,13,288,0,205,0,0,0,0,0,0,0,0,0,0,0
66,612,Forereef,MSE,MSE-F,1510,0,0,22,26,252,0,184,0,0,0,0,0,0,0,0,0,0,0
67,614,Forereef,MSE,MSE-F,1486,0,0,13,11,221,0,263,0,0,0,0,0,0,0,0,0,0,0
68,616,Forereef,MSE,MSE-F,1207,0,0,38,19,340,0,375,15,0,0,0,0,0,0,0,0,0,0
69,617,Forereef,MSE,MSE-F,1472,0,0,25,0,247,0,242,7,0,0,0,0,1,0,0,0,0,0
70,618,Forereef,MSE,MSE-F,1192,0,0,13,32,303,0,302,16,0,0,0,136,0,0,0,0,0,0
71,619,Forereef,MSE,MSE-F,1480,0,0,15,0,259,0,240,0,0,0,0,0,0,0,0,0,0,0
72,62,Backreef,MNW,MNW-B,1672,0,0,0,0,201,0,119,0,0,0,0,0,2,0,0,0,0,0
73,626,Forereef,MSE,MSE-F,1591,0,0,13,0,241,0,140,9,0,0,0,0,0,0,0,0,0,0
74,627,Forereef,MSE,MSE-F,1700,0,0,4,0,118,0,160,0,0,0,12,0,0,0,0,0,0,0
75,63,Backreef,MNW,MNW-B,1640,0,0,11,0,208,0,135,0,0,0,0,0,0,0,0,0,0,0
76,630,Forereef,MSE,MSE-F,1627,0,0,11,0,171,0,171,14,0,0,0,0,0,0,0,0,0,0
77,632,Forereef,MSE,MSE-F,1174,0,0,32,25,335,0,416,12,0,0,0,0,0,0,0,0,0,0
78,633,Forereef,MSE,MSE-F,1550,0,0,16,0,272,0,156,0,0,0,0,0,0,0,0,0,0,0
79,65,Backreef,MNW,MNW-B,1549,0,0,28,0,281,0,124,10,0,0,0,0,2,0,0,0,0,0
80,70,Backreef,MNW,MNW-B,1253,0,0,23,31,488,0,186,11,0,0,0,0,1,1,0,0,0,0
81,73,Backreef,MNW,MNW-B,1546,0,0,14,22,237,0,175,0,0,0,0,0,0,0,0,0,0,0
82,89,Backreef,MNW,MNW-B,1594,0,0,21,0,278,0,94,0,0,0,0,0,0,7,0,0,0,0
83,96,Backreef,MNW,MNW-B,1701,0,0,8,0,209,0,76,0,0,0,0,0,0,0,0,0,0,0
84,97,Backreef,MNW,MNW-B,1740,0,0,0,0,158,0,87,9,0,0,0,0,0,0,0,0,0,0
85,98,Backreef,MNW,MNW-B,1353,0,0,18,0,196,0,79,0,0,0,0,0,0,348,0,0,0,0